canonical_key,name,type,category,category_label,primary_muscle,primary_muscle_label,difficulty,equipments,instructions,safety_info,language,source,active
"fitos:rosca-alta-no-cabo","Rosca alta no cabo","strength","cabos","Cabos e polias","biceps","Bíceps","intermediario","polia dupla","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute rosca alta no cabo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-alternada-com-halteres","Rosca alternada com halteres","strength","pesos_livres","Pesos livres","biceps","Bíceps","iniciante","halteres","Prepare o equipamento e assuma uma base estável. Execute rosca alternada com halteres com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-aranha-com-barra-w","Rosca aranha com barra W","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","barra W|banco inclinado","Prepare o equipamento e assuma uma base estável. Execute rosca aranha com barra w com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-com-corda-no-cabo","Rosca com corda no cabo","strength","cabos","Cabos e polias","biceps","Bíceps","iniciante","polia baixa|corda","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute rosca com corda no cabo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-concentrada","Rosca concentrada","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","halter|banco","Prepare o equipamento e assuma uma base estável. Execute rosca concentrada com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-direta-com-barra","Rosca direta com barra","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","barra","Prepare o equipamento e assuma uma base estável. Execute rosca direta com barra com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-direta-com-barra-w","Rosca direta com barra W","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","barra W","Prepare o equipamento e assuma uma base estável. Execute rosca direta com barra w com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-direta-na-maquina","Rosca direta na máquina","strength","maquinas","Máquinas e aparelhos","biceps","Bíceps","iniciante","máquina de rosca","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute rosca direta na máquina na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-direta-no-cabo","Rosca direta no cabo","strength","cabos","Cabos e polias","biceps","Bíceps","iniciante","polia baixa|barra","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute rosca direta no cabo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-inclinada-com-halteres","Rosca inclinada com halteres","strength","pesos_livres","Pesos livres","biceps","Bíceps","iniciante","halteres|banco inclinado","Prepare o equipamento e assuma uma base estável. Execute rosca inclinada com halteres com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
